Date : 2026-01-18 13:31:58
Directory : c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src
Total : 362 files,  33777 codes, 2805 comments, 7614 blanks, all 44196 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\treasuryScreen.java                               | Java     |        514 |         57 |        152 |        723 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\resources\kingdoms.client.mixins.json                                | JSON     |         11 |          0 |          0 |         11 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\AIkingdomNPCSpawnerBlock.java                       | Java     |         64 |          4 |         17 |         85 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\IKingdomSpawnerBlock.java                           | Java     |          3 |          5 |          1 |          9 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\Kingdoms.java                                       | Java     |        530 |         16 |        132 |        678 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\KingdomsCommands.java                               | Java     |      2,051 |        135 |        470 |      2,656 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\ModEffects.java                                     | Java     |         28 |          2 |          7 |         37 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\RetinueRespawnManager.java                          | Java     |        207 |         30 |         54 |        291 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\RetinueSpawner.java                                 | Java     |        111 |         25 |         32 |        168 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\WarCommandItem.java                                 | Java     |         94 |          5 |         22 |        121 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\aiKingdomState.java                                 | Java     |        468 |         60 |        150 |        678 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\Blueprint.java                            | Java     |        121 |         13 |         34 |        168 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintFootprintState.java              | Java     |         92 |         15 |         17 |        124 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlaceCommand.java                | Java     |         48 |          0 |         10 |         58 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlacer.java                      | Java     |        165 |         20 |         44 |        229 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\BlueprintPlacerEngine.java                | Java     |      1,611 |        162 |        467 |      2,240 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\CastleOriginState.java                    | Java     |         67 |         10 |         16 |         93 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomGenGate.java                       | Java     |         17 |          2 |          7 |         26 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomSatelliteSpawner.java              | Java     |        343 |         45 |         85 |        473 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\KingdomsSpawnState.java                   | Java     |         61 |         12 |         18 |         91 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RegionActivityState.java                  | Java     |         69 |          7 |         16 |         92 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RegionDecisionStateV2.java                | Java     |         95 |         14 |         21 |        130 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAStar.java                            | Java     |        187 |         16 |         62 |        265 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAnchorState.java                      | Java     |         72 |         10 |         19 |        101 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadAnchors.java                          | Java     |         99 |         27 |         32 |        158 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadBuildState.java                       | Java     |         43 |          8 |         15 |         66 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadBuilder.java                          | Java     |        549 |         75 |        165 |        789 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadEdge.java                             | Java     |          3 |          0 |          4 |          7 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\RoadNetworkPlanner.java                   | Java     |         79 |          0 |         19 |         98 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\WorldgenBlueprintQueueState.java          | Java     |        120 |          9 |         20 |        149 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\blueprint\worldGenBluePrintAutoSpawner.java         | Java     |        447 |        110 |        149 |        706 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\borderSelection.java                                | Java     |         25 |          0 |         10 |         35 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\clientWarZoneCache.java                             | Java     |         13 |          1 |          6 |         20 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyEvent.java                     | Java     |         28 |          1 |          5 |         34 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyEventState.java                | Java     |         42 |          1 |         16 |         59 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyTicker.java                    | Java     |        982 |        124 |        245 |      1,351 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiEconomyMutator.java                     | Java     |         37 |          0 |          7 |         44 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiLetterText.java                         | Java     |      1,584 |         43 |        244 |      1,871 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiRelationNormalizer.java                 | Java     |         44 |          6 |         17 |         67 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiRelationsState.java                     | Java     |         92 |         14 |         30 |        136 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AllianceState.java                        | Java     |        112 |         13 |         27 |        152 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyAiSendRules.java                 | Java     |         55 |          6 |         20 |         81 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyCooldownState.java               | Java     |         39 |          1 |         14 |         54 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyEvaluator.java                   | Java     |        379 |         94 |        109 |        582 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyLetterPolicy.java                | Java     |        114 |         31 |         22 |        167 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyMailGenerator.java               | Java     |        437 |         68 |        135 |        640 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyMailboxState.java                | Java     |        210 |         18 |         56 |        284 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyPlayerSendRules.java             | Java     |         99 |         20 |         30 |        149 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyRelationNormalizer.java          | Java     |         37 |          4 |         15 |         56 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyRelationsState.java              | Java     |         74 |          5 |         23 |        102 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyResponder.java                   | Java     |         22 |          1 |          9 |         32 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyResponseQueue.java               | Java     |        448 |         71 |        103 |        622 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\EconomyMutator.java                       | Java     |         40 |          1 |          6 |         47 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\Letter.java                               | Java     |        340 |         36 |         65 |        441 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\PeaceEvaluator.java                       | Java     |         38 |         13 |         16 |         67 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\ResourceType.java                         | Java     |          6 |          1 |          2 |          9 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\ResourceValues.java                       | Java     |         25 |          1 |         11 |         37 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\RoyalGuardManager.java                       | Java     |        139 |         21 |         53 |        213 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\SoldierEntity.java                           | Java     |        457 |         50 |        132 |        639 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\aiKingdomEntity.java                         | Java     |        443 |         39 |        109 |        591 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\FindBedAtNightGoal.java                   | Java     |        134 |          8 |         34 |        176 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\FindBedAtNightGoalAI.java                 | Java     |        134 |          2 |         33 |        169 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\FollowOwnerGoal.java                      | Java     |        101 |         13 |         35 |        149 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\RetinueSeparationGoal.java                | Java     |         57 |          1 |         17 |         75 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\ReturnHomeDayGoal.java                    | Java     |         53 |          1 |         16 |         70 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\ReturnHomeDayGoalAI.java                  | Java     |         53 |          0 |         16 |         69 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\aiKingdomNPCEntity.java                   | Java     |        506 |         44 |        138 |        688 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\homeAndBedMob.java                        | Java     |         18 |          0 |          7 |         25 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\kingdomWorkerEntity.java                     | Java     |        572 |         81 |        182 |        835 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\modEntities.java                             | Java     |         29 |          0 |         12 |         41 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\jobBlock.java                                       | Java     |        152 |         21 |         43 |        216 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\jobBlockEntity.java                                 | Java     |        438 |         39 |        112 |        589 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\jobBlocks.java                                      | Java     |         30 |          5 |         11 |         46 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\jobDefinition.java                                  | Java     |        439 |         54 |         99 |        592 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\jobs.java                                           | Java     |         21 |          5 |          4 |         30 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingSkinPoolState.java                              | Java     |         52 |          2 |         15 |         69 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingdomBlock.java                                   | Java     |         87 |         11 |         28 |        126 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingdomBorderMapItem.java                           | Java     |         18 |          1 |          5 |         24 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingdomKingSpawnerBlock.java                        | Java     |         51 |          4 |         18 |         73 |
| c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingdomProtection.java                              | Java     |         66 |         17 |         25 |        108 |
